municipio_norm,Nome_Municipio,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA,IND_REND_2023,NOTA_MEDIA_SAEB_2023,IDEB_2023,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,PERC_ESCOLA_PUB
SAO DOMINGOS DO NORTE,São Domingos do Norte,0.49,9.78,32.81,22.84,3.09,12.11,0.679,0.575,0.682,36.1,10.45,13373086.55,34.89,1391,9614.01,9918546.95,0.2953859111791731,0.3434724349157733,0.08928866768759566,0.06248085758039817,0.6876562021439505,0.3753828483920367,0.214010719754977,0.6742344859704273,0.986533,253.39,4.2,,,,,,,,,
SAO GABRIEL DA PALHA,São Gabriel da Palha,0.6,9.21,38.73,23.94,5.41,10.57,0.739,0.578,0.709,35.53,5.77,24800281.95,25.09,4074,6087.45,27273145.82,0.2639792597319722,0.3996643267389915,0.0894068283343968,0.05488194001276316,0.6339696873005769,0.2833439693682195,0.1226196553924697,0.4517239240977304,0.966648,290.8,4.9,São Gabriel da Palha,485.7732600732601,500.9348122866894,518.842662116041,523.6355311355311,677.7474402730376,538.9498752834468,352.0,100.0
SAO JOSE DO CALCADO,São José do Calçado,0.51,8.97,37.82,23.67,5.62,12.34,0.669,0.599,0.688,32.56,15.14,9861042.79,28.15,1599,6167.01,10887232.79,0.2653528265107212,0.2910194931773879,0.05065107212475631,0.05136452241715396,0.6339532163742688,0.4383528265107213,0.1268040935672515,0.7246736532450818,0.996306,254.08,4.2,,,,,,,,,
SAO MATEUS,São Mateus,0.57,9.25,50.14,36.56,4.59,9.76,0.719,0.655,0.735,31.65,9.51,90179582.03,33.19,17030,5295.34,116192153.45,0.2614216860147084,0.3784641098887762,0.09440703823011048,0.04732267671549286,0.5963947608338828,0.3103081504892725,0.1416095544885422,0.6083134009955394,0.981075,283.42,4.8,São Mateus,490.81394302848577,499.4309899569584,517.5939741750359,517.8427286356821,640.6886657101866,531.7354095238095,833.0,100.0
SAO ROQUE DO CANAA,São Roque do Canaã,0.43,9.96,28.99,18.5,4.17,9.73,0.686,0.623,0.7,36.22,6.0,11745824.97,29.95,1091,10766.11,6694927.88,0.2461506996770722,0.3704499461786868,0.08248654467169002,0.05812701829924651,0.64356512378902,0.1716899892357374,0.1504520990312166,0.446261252985486,1.0,274.16,4.7,,,,,,,,,
SERRA,Serra,0.47,9.4,57.31,39.79,1.57,5.55,0.72,0.664,0.739,24.14,8.79,415615854.79,27.91,65908,6306.0,428223034.82,0.2661202247770238,0.423722379749442,0.09436479868020793,0.04467701190905704,0.5928268460758341,0.3557809626918252,0.08527275695554862,0.459321275398394,0.945452,281.04,4.5,Serra,488.317820007171,504.338,521.9692542372882,520.7519541054141,613.4237288135594,528.4936334913112,3602.0,100.0
SOORETAMA,Sooretama,0.5,8.69,32.92,19.15,5.72,14.59,0.65,0.556,0.662,43.4,15.35,22659970.87,27.69,5654,4007.78,45355695.08,0.2752653485952136,0.4362167880679847,0.1198570933055843,0.09184876864377375,0.6208772112382948,0.2481789802289282,0.1345875823794657,0.6068598596332352,0.971224,275.55,4.5,Sooretama,459.3103092783505,475.0529411764706,500.45,477.64845360824745,612.5490196078431,504.32692556634305,141.0,100.0
VARGEM ALTA,Vargem Alta,0.45,9.07,29.2,16.6,2.96,11.3,0.658,0.544,0.663,44.08,7.47,21517369.58,34.54,2743,7844.47,18091232.38,0.2600711166562696,0.4052994385527136,0.1049625701809107,0.03942607610729881,0.6463955084217086,0.2344042420461634,0.1299357454772303,0.4353115575320758,0.922271,306.49,5.1,,,,,,,,,
VENDA NOVA DO IMIGRANTE,Venda Nova do Imigrante,0.52,9.43,42.39,27.48,1.73,8.43,0.731,0.624,0.728,33.96,7.29,33113557.73,38.08,2338,14163.2,15428286.39,0.2619322916666667,0.3990353009259258,0.0863715277777777,0.0643518518518518,0.628831018518518,0.2186053240740741,0.1744189814814815,0.4053543703579371,0.947485,,,Venda Nova do Imigrante,497.38312020460353,521.1907090464548,523.8359413202934,540.4994884910485,667.2371638141809,548.1996755879967,448.0,100.0
VIANA,Viana,0.42,8.48,40.89,23.21,2.27,7.03,0.672,0.589,0.686,32.27,10.44,68450785.37,25.46,13955,4905.11,96457209.74,0.2654277879341864,0.4163888590171002,0.08469534358533157,0.05727497580385014,0.6065640391439966,0.3525916765243575,0.07498677277126557,0.5300382713863503,0.972822,274.19,4.5,Viana,471.4158767772512,490.2685393258427,509.363595505618,500.4537914691943,595.3258426966293,511.664932735426,557.0,100.0
VILA PAVAO,Vila Pavão,0.48,9.41,29.22,17.87,8.25,14.23,0.647,0.588,0.681,36.91,5.58,9860435.33,30.17,1355,7277.07,9639614.9,0.2835698143664246,0.341177562550444,0.09384745762711859,0.05052461662631156,0.6560193704600479,0.3688458434221146,0.190900726392252,0.617326899337897,0.956289,295.35,5.2,,,,,,,,,
VILA VALERIO,Vila Valério,0.51,9.28,26.68,17.63,5.54,14.07,0.686,0.549,0.675,42.98,10.71,17832169.9,28.62,2260,7890.34,14952298.83,0.2988194856577646,0.3843175074183975,0.1072685459940651,0.03778437190900098,0.6724317507418397,0.3665924826904056,0.2245801186943623,0.5768502331002331,0.915507,283.38,4.5,,,,,,,,,
VILA VELHA,Vila Velha,0.56,9.83,68.96,53.37,0.83,3.57,0.807,0.734,0.8,16.29,6.33,276844576.24,26.8,53912,5135.12,357361180.29,0.2680361246247778,0.4141796397888397,0.08630240140772212,0.04431735845150559,0.5933317979505045,0.3739519718455647,0.096053488251737,0.3317590363506527,0.970345,286.06,4.7,Vila Velha,492.9978628230616,513.0740168539327,527.4651685393259,527.2388170974156,612.4250936329588,533.0233535920212,2590.0,100.0
VITORIA,Vitória,0.6,10.04,76.83,64.08,0.64,2.98,0.876,0.805,0.845,12.47,5.15,609687982.9,28.52,41647,14639.42,278554714.3,0.2664634323508038,0.3878634399969423,0.05616236571472283,0.0441335015483429,0.6043115036127797,0.3889111901211912,0.1173162824482936,0.3205820317218439,0.908666,293.89,4.6,Vitória,503.2129130966952,514.9252625437573,528.3903150525088,538.8268665850673,609.1365227537923,536.4487662211892,2053.0,100.0
